Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-api-1 75.59% 101.3MiB / 7.38GiB 1.74GB / 1.14GB
flash-cloud-bench-redis-1 17.36% 64.23MiB / 7.38GiB 960MB / 1.68GB
flash-cloud-bench-consumer-1 5.39% 34.83MiB / 7.38GiB 17.8MB / 26.3MB
flash-cloud-bench-publisher-1 3.62% 34.91MiB / 7.38GiB 14.2MB / 20.7MB
flash-cloud-bench-simulator-1 2.73% 35.61MiB / 7.38GiB 15.5MB / 19.5MB
flash-cloud-bench-maintenance-1 11.59% 34.8MiB / 7.38GiB 259MB / 885MB
flash-cloud-bench-pgbouncer-1 6.94% 2.906MiB / 7.38GiB 450MB / 449MB
flash-cloud-bench-postgres-1 67.64% 170.6MiB / 7.38GiB 157MB / 303MB
flash-cloud-bench-kafka-1 154.46% 934.7MiB / 7.38GiB 11.8MB / 10MB
flash-cloud-bench-prometheus-1 0.01% 91.79MiB / 7.38GiB 3.16MB / 465kB
Tue Sep  8 05:00:17 PM UTC 2026
flash-cloud-bench-api-1 77.72% 101.7MiB / 7.38GiB 1.81GB / 1.18GB
flash-cloud-bench-redis-1 12.58% 64.34MiB / 7.38GiB 985MB / 1.75GB
flash-cloud-bench-consumer-1 6.99% 34.83MiB / 7.38GiB 18.4MB / 27.2MB
flash-cloud-bench-publisher-1 5.31% 34.91MiB / 7.38GiB 14.7MB / 21.4MB
flash-cloud-bench-simulator-1 3.02% 35.61MiB / 7.38GiB 15.8MB / 20MB
flash-cloud-bench-maintenance-1 3.35% 34.8MiB / 7.38GiB 265MB / 906MB
flash-cloud-bench-pgbouncer-1 5.71% 2.895MiB / 7.38GiB 462MB / 461MB
flash-cloud-bench-postgres-1 88.56% 173.1MiB / 7.38GiB 161MB / 311MB
flash-cloud-bench-kafka-1 144.21% 960.4MiB / 7.38GiB 12.3MB / 10.4MB
flash-cloud-bench-prometheus-1 0.23% 91.82MiB / 7.38GiB 3.25MB / 478kB
Tue Sep  8 05:00:29 PM UTC 2026
flash-cloud-bench-api-1 107.19% 102.1MiB / 7.38GiB 1.87GB / 1.23GB
flash-cloud-bench-redis-1 11.58% 64.23MiB / 7.38GiB 1.01GB / 1.81GB
flash-cloud-bench-consumer-1 7.07% 34.84MiB / 7.38GiB 19MB / 28.1MB
flash-cloud-bench-publisher-1 5.51% 34.91MiB / 7.38GiB 15.1MB / 22MB
flash-cloud-bench-simulator-1 2.84% 35.61MiB / 7.38GiB 16.2MB / 20.5MB
flash-cloud-bench-maintenance-1 3.39% 34.8MiB / 7.38GiB 272MB / 928MB
flash-cloud-bench-pgbouncer-1 5.60% 2.926MiB / 7.38GiB 474MB / 472MB
flash-cloud-bench-postgres-1 91.30% 173.8MiB / 7.38GiB 165MB / 318MB
flash-cloud-bench-kafka-1 152.69% 988.1MiB / 7.38GiB 12.7MB / 10.7MB
flash-cloud-bench-prometheus-1 0.14% 91.82MiB / 7.38GiB 3.33MB / 488kB
Tue Sep  8 05:00:41 PM UTC 2026
flash-cloud-bench-api-1 85.85% 102.1MiB / 7.38GiB 1.95GB / 1.28GB
flash-cloud-bench-redis-1 23.70% 66.43MiB / 7.38GiB 1.04GB / 1.88GB
flash-cloud-bench-consumer-1 5.87% 34.84MiB / 7.38GiB 19.6MB / 29MB
flash-cloud-bench-publisher-1 3.89% 34.91MiB / 7.38GiB 15.5MB / 22.6MB
flash-cloud-bench-simulator-1 2.64% 35.61MiB / 7.38GiB 16.6MB / 20.9MB
flash-cloud-bench-maintenance-1 11.08% 34.8MiB / 7.38GiB 279MB / 952MB
flash-cloud-bench-pgbouncer-1 6.66% 2.898MiB / 7.38GiB 486MB / 485MB
flash-cloud-bench-postgres-1 74.53% 174.3MiB / 7.38GiB 170MB / 327MB
flash-cloud-bench-kafka-1 93.75% 937.5MiB / 7.38GiB 13.1MB / 11.1MB
